tank_name,Type,timestamp,Number,Class,tank_name2,fuel_type,qty,Amount,balance,tank_id,station_id
Petrol Tank 01,Invoice,2025-10-06,CR/INV/2526/07514,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.719,688.98,5241191.53,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-06,CR/INV/2526/07515,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.0,506.78,5241698.31,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-06,CR/INV/2526/07516,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.0,506.78,5242205.09,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-06,CR/INV/2526/07517,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.0,506.78,5242711.87,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-06,CR/INV/2526/07518,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,2.0,506.78,5243218.65,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-06,CR/INV/2526/07520,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,369.715,"93,682.20",5336900.85,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-06,CASH/INV/2425/02125,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,45.713,"11,583.15",5348484.0,Petrol Tank 01,ST001
Petrol Tank 01,Cash Sales,2025-10-06,CASH/INV/2425/02130,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,826.285,"209,372.24",5557856.24,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-07,CR/INV/2526/07544,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,595.745,"150,955.93",5708812.17,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-07,CR/INV/2526/07545,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,34.247,"8,677.97",5717490.14,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-07,CR/INV/2526/07546,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,81.61,"20,679.14",5738169.28,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-07,CR/INV/2526/07547,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,9.398,"2,381.36",5740550.64,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-07,CR/INV/2526/07548,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,22.58,"5,721.54",5746272.18,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-07,CR/INV/2526/07584,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,232.207,"58,838.98",5805111.16,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-07,CR/INV/2526/07585,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,55.351,"14,025.42",5819136.59,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-07,CR/INV/2526/07586,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,3.344,847.46,5819984.04,Petrol Tank 01,ST001
Petrol Tank 01,Invoice,2025-10-07,CR/INV/2526/07587,Unclassified,Petrol Tank 01,Lanka Petrol 92 Octane,30.0,"7,601.70",5827585.74,Petrol Tank 01,ST001
